Distancia [m], Anomalia Magnetica de Campo Total [nT]
0,-110.78
20,-89.84
40,-122.07
60,-130.0833333
80,-126.92
100,-123.39
120,-127.1266667
140,-124.0766667
160,-123.49
180,-121.2333333
200,-144.3133333
220,-134.58
240,-128.5233333
260,-133.3833333
280,-132.2733333
300,-136.01
320,-121.4833333
340,-125.1566667
360,-124.2233333
380,-114.63
400,-113.0866667
420,-111.6633333
440,-104.67
460,-96.96666667
480,-112.8533333
500,-103.5433333
520,-102.41
540,-110.33
560,-85.39
580,-84.28666667
600,-99.55
620,-98.39666667
640,-84.91666667
660,-99.28333333
680,-108.1333333
700,-124.9266667
720,-139.86
740,-164.5766667
760,-255.71
780,-196.4966667
800,-150.0433333
820,-134.5033333
840,-66.57
860,-32.43333333
